competencia,uf,tipo_estabelecimento,natureza_juridica,qtd_estabelecimentos
2023-10,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2023-10,BR,Hospital Especializado,Privado,247
2023-10,SP,Hospital Especializado,Privado,54
2023-10,RJ,Hospital Especializado,Privado,22
2023-10,MG,Hospital Especializado,Privado,24
2023-10,BA,Hospital Especializado,Privado,17
2023-10,RS,Hospital Especializado,Privado,14
2024-01,BR,Hospital Especializado,P<c3><ba>blico,285
2024-01,SP,Hospital Especializado,P<c3><ba>blico,62
2024-01,RJ,Hospital Especializado,P<c3><ba>blico,26
2024-01,MG,Hospital Especializado,P<c3><ba>blico,28
2024-01,BA,Hospital Especializado,P<c3><ba>blico,19
2024-01,RS,Hospital Especializado,P<c3><ba>blico,16
2024-01,BR,Hospital Especializado,Filantr<c3><b3>pico,181
2024-01,SP,Hospital Especializado,Filantr<c3><b3>pico,38
2024-01,RJ,Hospital Especializado,Filantr<c3><b3>pico,16
2024-01,MG,Hospital Especializado,Filantr<c3><b3>pico,18
2024-01,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2024-01,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2024-01,BR,Hospital Especializado,Privado,249
2024-01,SP,Hospital Especializado,Privado,53
2024-01,RJ,Hospital Especializado,Privado,23
2024-01,MG,Hospital Especializado,Privado,24
2024-01,BA,Hospital Especializado,Privado,17
2024-01,RS,Hospital Especializado,Privado,14
2024-04,BR,Hospital Especializado,P<c3><ba>blico,287
2024-04,SP,Hospital Especializado,P<c3><ba>blico,63
2024-04,RJ,Hospital Especializado,P<c3><ba>blico,25
2024-04,MG,Hospital Especializado,P<c3><ba>blico,28
2024-04,BA,Hospital Especializado,P<c3><ba>blico,20
2024-04,RS,Hospital Especializado,P<c3><ba>blico,16
2024-04,BR,Hospital Especializado,Filantr<c3><b3>pico,182
2024-04,SP,Hospital Especializado,Filantr<c3><b3>pico,39
2024-04,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2024-04,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2024-04,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2024-04,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2024-04,BR,Hospital Especializado,Privado,242
2024-04,SP,Hospital Especializado,Privado,53
2024-04,RJ,Hospital Especializado,Privado,22
2024-04,MG,Hospital Especializado,Privado,24
2024-04,BA,Hospital Especializado,Privado,17
2024-04,RS,Hospital Especializado,Privado,14
2024-07,BR,Hospital Especializado,P<c3><ba>blico,288
2024-07,SP,Hospital Especializado,P<c3><ba>blico,63
2024-07,RJ,Hospital Especializado,P<c3><ba>blico,25
2024-07,MG,Hospital Especializado,P<c3><ba>blico,28
2024-07,BA,Hospital Especializado,P<c3><ba>blico,20
2024-07,RS,Hospital Especializado,P<c3><ba>blico,16
2024-07,BR,Hospital Especializado,Filantr<c3><b3>pico,181
2024-07,SP,Hospital Especializado,Filantr<c3><b3>pico,39
2024-07,RJ,Hospital Especializado,Filantr<c3><b3>pico,15
2024-07,MG,Hospital Especializado,Filantr<c3><b3>pico,18
2024-07,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2024-07,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2024-07,BR,Hospital Especializado,Privado,258
2024-07,SP,Hospital Especializado,Privado,55
2024-07,RJ,Hospital Especializado,Privado,22
2024-07,MG,Hospital Especializado,Privado,24
2024-07,BA,Hospital Especializado,Privado,17
2024-07,RS,Hospital Especializado,Privado,15
2024-10,BR,Hospital Especializado,P<c3><ba>blico,281
2024-10,SP,Hospital Especializado,P<c3><ba>blico,62
2024-10,RJ,Hospital Especializado,P<c3><ba>blico,25
2024-10,MG,Hospital Especializado,P<c3><ba>blico,28
2024-10,BA,Hospital Especializado,P<c3><ba>blico,20
2024-10,RS,Hospital Especializado,P<c3><ba>blico,17
2024-10,BR,Hospital Especializado,Filantr<c3><b3>pico,182
2024-10,SP,Hospital Especializado,Filantr<c3><b3>pico,39
2024-10,RJ,Hospital Especializado,Filantr<c3><b3>pico,16
2024-10,MG,Hospital Especializado,Filantr<c3><b3>pico,18
2024-10,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2024-10,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2024-10,BR,Hospital Especializado,Privado,248
2024-10,SP,Hospital Especializado,Privado,56
2024-10,RJ,Hospital Especializado,Privado,22
2024-10,MG,Hospital Especializado,Privado,25
2024-10,BA,Hospital Especializado,Privado,17
2024-10,RS,Hospital Especializado,Privado,15
2025-01,BR,Hospital Especializado,P<c3><ba>blico,283
2025-01,SP,Hospital Especializado,P<c3><ba>blico,62
2025-01,RJ,Hospital Especializado,P<c3><ba>blico,26
2025-01,MG,Hospital Especializado,P<c3><ba>blico,28
2025-01,BA,Hospital Especializado,P<c3><ba>blico,20
2025-01,RS,Hospital Especializado,P<c3><ba>blico,16
2025-01,BR,Hospital Especializado,Filantr<c3><b3>pico,185
2025-01,SP,Hospital Especializado,Filantr<c3><b3>pico,39
2025-01,RJ,Hospital Especializado,Filantr<c3><b3>pico,16
2025-01,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2025-01,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2025-01,RS,Hospital Especializado,Filantr<c3><b3>pico,11
2025-01,BR,Hospital Especializado,Privado,257
2025-01,SP,Hospital Especializado,Privado,56
2025-01,RJ,Hospital Especializado,Privado,22
2025-01,MG,Hospital Especializado,Privado,25
2025-01,BA,Hospital Especializado,Privado,17
2025-01,RS,Hospital Especializado,Privado,15
2025-04,BR,Hospital Especializado,P<c3><ba>blico,296
2025-04,SP,Hospital Especializado,P<c3><ba>blico,64
2025-04,RJ,Hospital Especializado,P<c3><ba>blico,26
2025-04,MG,Hospital Especializado,P<c3><ba>blico,28
2025-04,BA,Hospital Especializado,P<c3><ba>blico,20
2025-04,RS,Hospital Especializado,P<c3><ba>blico,17
2025-04,BR,Hospital Especializado,Filantr<c3><b3>pico,179
2025-04,SP,Hospital Especializado,Filantr<c3><b3>pico,40
2025-04,RJ,Hospital Especializado,Filantr<c3><b3>pico,16
2025-04,MG,Hospital Especializado,Filantr<c3><b3>pico,18
2025-04,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2025-04,RS,Hospital Especializado,Filantr<c3><b3>pico,11
2025-04,BR,Hospital Especializado,Privado,252
2025-04,SP,Hospital Especializado,Privado,55
2025-04,RJ,Hospital Especializado,Privado,22
2025-04,MG,Hospital Especializado,Privado,25
2025-04,BA,Hospital Especializado,Privado,17
2025-04,RS,Hospital Especializado,Privado,14
2025-07,BR,Hospital Especializado,P<c3><ba>blico,293
2025-07,SP,Hospital Especializado,P<c3><ba>blico,63
2025-07,RJ,Hospital Especializado,P<c3><ba>blico,26
2025-07,MG,Hospital Especializado,P<c3><ba>blico,29
2025-07,BA,Hospital Especializado,P<c3><ba>blico,20
2025-07,RS,Hospital Especializado,P<c3><ba>blico,17
2025-07,BR,Hospital Especializado,Filantr<c3><b3>pico,179
2025-07,SP,Hospital Especializado,Filantr<c3><b3>pico,40
2025-07,RJ,Hospital Especializado,Filantr<c3><b3>pico,16
2025-07,MG,Hospital Especializado,Filantr<c3><b3>pico,17
2025-07,BA,Hospital Especializado,Filantr<c3><b3>pico,12
2025-07,RS,Hospital Especializado,Filantr<c3><b3>pico,10
2025-07,BR,Hospital Especializado,Privado,251
2025-07,SP,Hospital Especializado,Privado,55
2025-07,RJ,Hospital Especializado,Privado,22
2025-07,MG,Hospital Especializado,Privado,25
2025-07,BA,Hospital Especializado,Privado,17
2025-07,RS,Hospital Especializado,Privado,15
2018-01,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4803
2018-01,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1034
2018-01,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,427
2018-01,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,474
2018-01,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,338
2018-01,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,287
2018-01,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,2951
2018-01,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,666
2018-01,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,269
2018-01,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,301
2018-01,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,209
2018-01,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,180
2018-01,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4309
2018-01,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,945
2018-01,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,384
2018-01,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,426
2018-01,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,301
2018-01,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,255
2018-04,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4779
2018-04,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1057
2018-04,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,428
2018-04,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,480
2018-04,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,333
2018-04,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,292
2018-04,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3043
2018-04,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,660
2018-04,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,276
2018-04,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,301
2018-04,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,210
2018-04,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,183
2018-04,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4119
2018-04,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,946
2018-04,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,379
2018-04,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,414
2018-04,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,296
2018-04,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,254
2018-07,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4756
2018-07,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1052
2018-07,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,434
2018-07,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,485
2018-07,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,334
2018-07,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,287
2018-07,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3105
2018-07,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,659
2018-07,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,272
2018-07,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,300
2018-07,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,208
2018-07,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,182
2018-07,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4224
2018-07,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,909
2018-07,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,377
2018-07,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,417
2018-07,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,292
2018-07,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,257
2018-10,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4980
2018-10,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1061
2018-10,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,434
2018-10,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,486
2018-10,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,345
2018-10,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,286
2018-10,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3032
2018-10,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,669
2018-10,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,268
2018-10,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,303
2018-10,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,211
2018-10,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,182
2018-10,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4259
2018-10,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,921
2018-10,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,389
2018-10,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,417
2018-10,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,292
2018-10,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,257
2019-01,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4917
2019-01,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1074
2019-01,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,426
2019-01,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,496
2019-01,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,348
2019-01,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,289
2019-01,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,2994
2019-01,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,673
2019-01,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,277
2019-01,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,297
2019-01,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,207
2019-01,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,181
2019-01,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4240
2019-01,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,952
2019-01,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,383
2019-01,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,429
2019-01,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,309
2019-01,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,257
2019-04,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4932
2019-04,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1063
2019-04,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,442
2019-04,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,487
2019-04,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,348
2019-04,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,301
2019-04,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3025
2019-04,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,670
2019-04,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,275
2019-04,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,305
2019-04,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,211
2019-04,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,184
2019-04,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4240
2019-04,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,934
2019-04,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,380
2019-04,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,418
2019-04,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,299
2019-04,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,257
2019-07,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4882
2019-07,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1082
2019-07,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,442
2019-07,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,494
2019-07,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,343
2019-07,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,293
2019-07,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3090
2019-07,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,682
2019-07,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,281
2019-07,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,304
2019-07,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,217
2019-07,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,179
2019-07,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4281
2019-07,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,938
2019-07,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,384
2019-07,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,427
2019-07,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,302
2019-07,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,260
2019-10,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4846
2019-10,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1078
2019-10,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,434
2019-10,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,488
2019-10,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,343
2019-10,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,293
2019-10,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3137
2019-10,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,666
2019-10,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,282
2019-10,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,309
2019-10,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,216
2019-10,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,187
2019-10,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4380
2019-10,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,964
2019-10,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,393
2019-10,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,423
2019-10,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,302
2019-10,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,260
2020-01,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4975
2020-01,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1094
2020-01,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,442
2020-01,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,499
2020-01,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,336
2020-01,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,293
2020-01,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3094
2020-01,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,670
2020-01,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,282
2020-01,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,320
2020-01,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,210
2020-01,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,187
2020-01,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4434
2020-01,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,924
2020-01,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,381
2020-01,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,426
2020-01,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,303
2020-01,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,261
2020-04,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4899
2020-04,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1105
2020-04,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,438
2020-04,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,502
2020-04,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,352
2020-04,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,293
2020-04,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3050
2020-04,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,687
2020-04,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,279
2020-04,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,308
2020-04,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,220
2020-04,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,184
2020-04,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4370
2020-04,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,947
2020-04,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,391
2020-04,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,424
2020-04,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,309
2020-04,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,261
2020-07,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4827
2020-07,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1081
2020-07,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,454
2020-07,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,507
2020-07,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,352
2020-07,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,298
2020-07,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3155
2020-07,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,690
2020-07,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,274
2020-07,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,311
2020-07,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,214
2020-07,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,188
2020-07,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4277
2020-07,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,981
2020-07,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,391
2020-07,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,428
2020-07,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,308
2020-07,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,262
2020-10,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,4890
2020-10,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1104
2020-10,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,457
2020-10,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,504
2020-10,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,354
2020-10,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,298
2020-10,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3135
2020-10,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,693
2020-10,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,276
2020-10,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,308
2020-10,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,221
2020-10,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,186
2020-10,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4421
2020-10,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,1002
2020-10,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,391
2020-10,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,438
2020-10,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,306
2020-10,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,260
2021-01,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,5012
2021-01,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1099
2021-01,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,462
2021-01,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,507
2021-01,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,349
2021-01,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,309
2021-01,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3200
2021-01,SP,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,705
2021-01,RJ,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,286
2021-01,MG,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,309
2021-01,BA,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,220
2021-01,RS,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,191
2021-01,BR,Cl<c3><ad>nica/Centro Especialidade,Privado,4364
2021-01,SP,Cl<c3><ad>nica/Centro Especialidade,Privado,945
2021-01,RJ,Cl<c3><ad>nica/Centro Especialidade,Privado,392
2021-01,MG,Cl<c3><ad>nica/Centro Especialidade,Privado,430
2021-01,BA,Cl<c3><ad>nica/Centro Especialidade,Privado,312
2021-01,RS,Cl<c3><ad>nica/Centro Especialidade,Privado,262
2021-04,BR,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,5026
2021-04,SP,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,1090
2021-04,RJ,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,453
2021-04,MG,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,505
2021-04,BA,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,354
2021-04,RS,Cl<c3><ad>nica/Centro Especialidade,P<c3><ba>blico,300
2021-04,BR,Cl<c3><ad>nica/Centro Especialidade,Filantr<c3><b3>pico,3073
